xi,b_field_ripple_pct,efficiency
0.5,0.0,0.9590033200537504
0.5,0.0022222222222222222,0.954558875609306
0.5,0.0044444444444444444,0.9501144311648616
0.5,0.006666666666666666,0.9456699867204171
0.5,0.008888888888888889,0.9412255422759727
0.5,0.011111111111111112,0.9367810978315282
0.5,0.013333333333333332,0.9323366533870838
0.5,0.015555555555555557,0.9278922089426394
0.5,0.017777777777777778,0.9234477644981949
0.5,0.02,0.9190033200537504
1.0,0.0,0.958026246797751
1.0,0.0022222222222222222,0.9535818023533065
1.0,0.0044444444444444444,0.9491373579088621
1.0,0.006666666666666666,0.9446929134644176
1.0,0.008888888888888889,0.9402484690199732
1.0,0.011111111111111112,0.9358040245755287
1.0,0.013333333333333332,0.9313595801310843
1.0,0.015555555555555557,0.9269151356866399
1.0,0.017777777777777778,0.9224706912421954
1.0,0.02,0.9180262467977509
1.5,0.0,0.9570868738754841
1.5,0.0022222222222222222,0.9526424294310396
1.5,0.0044444444444444444,0.9481979849865952
1.5,0.006666666666666666,0.9437535405421508
1.5,0.008888888888888889,0.9393090960977063
1.5,0.011111111111111112,0.9348646516532618
1.5,0.013333333333333332,0.9304202072088175
1.5,0.015555555555555557,0.925975762764373
1.5,0.017777777777777778,0.9215313183199285
1.5,0.02,0.917086873875484
2.0,0.0,0.9562005103774477
2.0,0.0022222222222222222,0.9517560659330032
2.0,0.0044444444444444444,0.9473116214885589
2.0,0.006666666666666666,0.9428671770441144
2.0,0.008888888888888889,0.9384227325996699
2.0,0.011111111111111112,0.9339782881552254
2.0,0.013333333333333332,0.9295338437107811
2.0,0.015555555555555557,0.9250893992663366
2.0,0.017777777777777778,0.9206449548218921
2.0,0.02,0.9162005103774477
2.5,0.0,0.9553788284273999
2.5,0.0022222222222222222,0.9509343839829554
2.5,0.0044444444444444444,0.946489939538511
2.5,0.006666666666666666,0.9420454950940665
2.5,0.008888888888888889,0.9376010506496221
2.5,0.011111111111111112,0.9331566062051776
2.5,0.013333333333333332,0.9287121617607332
2.5,0.015555555555555557,0.9242677173162888
2.5,0.017777777777777778,0.9198232728718443
2.5,0.02,0.9153788284273998
3.0,0.0,0.9546295043300196
3.0,0.0022222222222222222,0.9501850598855751
3.0,0.0044444444444444444,0.9457406154411307
3.0,0.006666666666666666,0.9412961709966863
3.0,0.008888888888888889,0.9368517265522418
3.0,0.011111111111111112,0.9324072821077973
3.0,0.013333333333333332,0.927962837663353
3.0,0.015555555555555557,0.9235183932189085
3.0,0.017777777777777778,0.919073948774464
3.0,0.02,0.9146295043300195
3.5,0.0,0.9539563222288283
3.5,0.0022222222222222222,0.9495118777843838
3.5,0.0044444444444444444,0.9450674333399395
3.5,0.006666666666666666,0.940622988895495
3.5,0.008888888888888889,0.9361785444510505
3.5,0.011111111111111112,0.9317341000066061
3.5,0.013333333333333332,0.9272896555621617
3.5,0.015555555555555557,0.9228452111177172
3.5,0.017777777777777778,0.9184007666732728
3.5,0.02,0.9139563222288283
4.0,0.0,0.9533596322973215
4.0,0.0022222222222222222,0.948915187852877
4.0,0.0044444444444444444,0.9444707434084326
4.0,0.006666666666666666,0.9400262989639881
4.0,0.008888888888888889,0.9355818545195437
4.0,0.011111111111111112,0.9311374100750992
4.0,0.013333333333333332,0.9266929656306548
4.0,0.015555555555555557,0.9222485211862104
4.0,0.017777777777777778,0.9178040767417659
4.0,0.02,0.9133596322973214
4.5,0.0,0.9528370212980097
4.5,0.0022222222222222222,0.9483925768535653
4.5,0.0044444444444444444,0.9439481324091209
4.5,0.006666666666666666,0.9395036879646764
4.5,0.008888888888888889,0.935059243520232
4.5,0.011111111111111112,0.9306147990757875
4.5,0.013333333333333332,0.9261703546313431
4.5,0.015555555555555557,0.9217259101868986
4.5,0.017777777777777778,0.9172814657424542
4.5,0.02,0.9128370212980097
5.0,0.0,0.9523840584404423
5.0,0.0022222222222222222,0.9479396139959978
5.0,0.0044444444444444444,0.9434951695515534
5.0,0.006666666666666666,0.939050725107109
5.0,0.008888888888888889,0.9346062806626645
5.0,0.011111111111111112,0.93016183621822
5.0,0.013333333333333332,0.9257173917737757
5.0,0.015555555555555557,0.9212729473293312
5.0,0.017777777777777778,0.9168285028848867
5.0,0.02,0.9123840584404422
